EID,Title,URL
745235231,"Talking Dateline: Down the Rabbit Hole","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/fdbd6835-f6dc-4d6c-ad33-ad59ba34839f/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=fdbd6835-f6dc-4d6c-ad33-ad59ba34839f&feed=HL4TzgYC"
744934462,"Down the Rabbit Hole","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/b4137dcb-4f2b-4c7d-beaa-5dd66bc46200/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=b4137dcb-4f2b-4c7d-beaa-5dd66bc46200&feed=HL4TzgYC"
743428860,"Fallout from the Karen Read trial. The Ponzi and poison case. And for Domestic Violence Awareness Month: how to help.","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/cb766d5f-d09a-44b3-95e9-2f4c50c8aa90/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=cb766d5f-d09a-44b3-95e9-2f4c50c8aa90&feed=HL4TzgYC"
743133122,"Talking Dateline: Wrong Turns","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/05e8439d-5ce4-4f82-b2b5-8e760cf94754/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=05e8439d-5ce4-4f82-b2b5-8e760cf94754&feed=HL4TzgYC"
742842215,"Wrong Turns","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/29e4b01a-7436-4a76-812d-42ce9f9026f5/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=29e4b01a-7436-4a76-812d-42ce9f9026f5&feed=HL4TzgYC"
741681755,"Death by Suitcase. The Missing Virginia Mom. Plus, Tips to Avoid a Carjacking.","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/6215f18b-8302-4d06-9e60-9dd218fc454a/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=6215f18b-8302-4d06-9e60-9dd218fc454a&feed=HL4TzgYC"
741398236,"Talking Dateline: The Butterfly","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/37ef5b8d-a522-441e-ba03-e6b9f142adb6/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=37ef5b8d-a522-441e-ba03-e6b9f142adb6&feed=HL4TzgYC"
741141896,"The Butterfly","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/7de35bfd-0d53-4339-9980-702fd208f87f/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=7de35bfd-0d53-4339-9980-702fd208f87f&feed=HL4TzgYC"
740123089,"Dateline True Crime Weekly with Andrea Canning","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/0584319d-3bd5-489e-af4e-5953148ba720/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=0584319d-3bd5-489e-af4e-5953148ba720&feed=HL4TzgYC"
739757227,"Talking Dateline: The Shadow in the Window","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/nbcnews.simplecastaudio.com/ae183fe2-c634-458a-93dd-5770f0676f77/episodes/7834e909-95b5-4946-9af5-5b8d20a68c91/audio/128/default.mp3?aid=rss_feed&awCollectionId=ae183fe2-c634-458a-93dd-5770f0676f77&awEpisodeId=7834e909-95b5-4946-9af5-5b8d20a68c91&feed=HL4TzgYC"
