EID,Title,URL
670292511,"Our Big Announcement | 2 Bears, 1 Cave","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH5515083724.mp3?updated=1707079325"
668536773,"Does Katt Williams Hate Us? | 2 Bears, 1 Cave","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4119896240.mp3?updated=1706211644"
666728763,"In Love with Weed w/ Jake Johnson | 2 Bears, 1 Cave","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1914851438.mp3?updated=1705700266"
664886727,"F1 Is Wild w/ Ryan Sickler | 2 Bears, 1 Cave","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4482996751.mp3?updated=1705004157"
663153501,"Praying for Laughs w/ Jessica Kirson | 2 Bears, 1 Cave Ep. 218","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6023104309.mp3?updated=1704392145"
661510943,"Calling Comics for 2 Bears 5K | 2 Bears, 1 Cave Ep. 217","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9241804028.mp3?updated=1704746886"
661493487,"Charitable Endeavors | 2 Bears, 1 Cave Ep. 216","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1327393350.mp3?updated=1704306434"
661493485,"Stavros Halkias | 2 Bears, 1 Cave Ep. 215","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9573617335.mp3?updated=1704749553"
661493483,"2 Bears vs 2 Kelces | 2 Bears, 1 Cave Ep. 214","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH5107582644.mp3?updated=1704750126"
661493481,"What Kind of Car is Your Wife? | 2 Bears, 1 Cave Ep. 213","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2619401666.mp3?updated=1704750273"
