EID,Title,URL
725115529,"MYSTERIOUS DEATH OF: Robin Pope","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/fd1f3e6d-0b4e-426d-b230-140f0a37b7cf/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=fd1f3e6d-0b4e-426d-b230-140f0a37b7cf&feed=qm_9xx0g"
724083721,"WANTED: Justice for Arnold Archambeau & Ruby Bruguier","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/342d19d5-77ba-4257-bb08-0ab0977d4de0/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=342d19d5-77ba-4257-bb08-0ab0977d4de0&feed=qm_9xx0g"
723185874,"MURDERED: Kelly Disney","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/343b7879-ce82-42a2-b660-8de1fd1f8aac/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=343b7879-ce82-42a2-b660-8de1fd1f8aac&feed=qm_9xx0g"
722167677,"AUDIO EXTRA: Unsolved Mysteries Part 1 & 2","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/461bcdbd-6015-4b8f-a1f4-ad1a5527e9b2/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=461bcdbd-6015-4b8f-a1f4-ad1a5527e9b2&feed=qm_9xx0g"
721300755,"MISSING: Trevor Deely","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/5e216c91-2343-44a5-bb9b-7894bb74630f/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=5e216c91-2343-44a5-bb9b-7894bb74630f&feed=qm_9xx0g"
720288612,"MISSING: Barbara Bolick","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/6e93860e-342f-4bff-b93e-8bec9a91598d/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=6e93860e-342f-4bff-b93e-8bec9a91598d&feed=qm_9xx0g"
719462411,"MURDERED: Roberta "Bibi" Lee","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/8724290f-5912-4b86-89a2-188d0602704c/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=8724290f-5912-4b86-89a2-188d0602704c&feed=qm_9xx0g"
718617370,"CONSPIRACY: Charles “Chuck” Morgan","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/917767d5-4f98-44c2-83a7-45eb5cb5b743/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=917767d5-4f98-44c2-83a7-45eb5cb5b743&feed=qm_9xx0g"
717515827,"MISSING: Carolyn Killaby","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/7c470132-77a7-4d13-bb4e-3b257ba19561/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=7c470132-77a7-4d13-bb4e-3b257ba19561&feed=qm_9xx0g"
715471687,"MURDERED: Thomas Bearson & Geetha Angara","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/pscrb.fm/rss/p/stitcher.simplecastaudio.com/ec74d48c-cbf1-4764-923e-7d584dce50fa/episodes/7904ba02-c894-4901-ab8e-03efd43e38c1/audio/128/default.mp3?aid=rss_feed&awCollectionId=ec74d48c-cbf1-4764-923e-7d584dce50fa&awEpisodeId=7904ba02-c894-4901-ab8e-03efd43e38c1&feed=qm_9xx0g"
