EID,Title,URL
740227871,"Imperfections, Nuance, and Humanity with comedian Alex Edelman","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/35572e1d-3507-47cf-92b3-9ae189fb78f3/audio/d7a9ed7e-d418-49b3-b950-1ead717d4b86/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227869,"Drive with professional racer Danica Patrick","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/4f61a710-2e93-4f98-a852-b8f932c4e176/audio/7a70851b-d586-45aa-a203-b597abe73def/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227868,"The Value of Values with Walmart CEO Doug McMillon","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/27b74d80-aeeb-4a0d-b224-aa33f9491226/audio/82736861-0c95-411e-9652-d0e81f1557b8/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227867,"A Curious Mind with movie producer Brian Grazer","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/2e92f943-4098-42e6-b2c8-caf8cdba26a7/audio/71e050c2-3514-4a5e-b3f2-31ed3a22cc0e/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227866,"Talking to Animals with A.I. ethicist Aza Raskin","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/ff029d51-f1b0-49e9-a986-0a9eb0272a11/audio/4c5e275c-0872-48a7-9377-39ce871e09e8/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227865,"A New Paradigm for Trust with entrepreneur Yat Siu","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/5e7259a9-1afd-44cf-854f-5b9d297f05b6/audio/d43e98a7-bcf4-4b21-858a-320446206860/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227864,"Humanize with designer Thomas Heatherwick","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/3d75ec62-6b5b-4938-9193-92f8b156fb3b/audio/4d82ef4f-5a2a-495a-b898-5eef483ee2fb/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227863,"Teammateship with NBA champion Shane Battier","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/5af05b01-f72c-4574-82f8-27dae23641da/audio/84f2047a-929f-4b3e-a996-b24e689cc0b7/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227862,"The Future of Leadership with educator Elizabeth English","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/18e1e936-3be6-410b-8202-50bc7af53607/audio/ede4ac79-a5d0-43c5-8cef-10aaa11363cf/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227861,"Remember Love with the poet Cleo Wade","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/3ce51870-3722-41c9-81dc-e979993e7d3a/audio/f1ff8737-80ce-4c1f-b95a-d2f698d6eef6/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227860,"Purpose over Profit with Thrive Causemetics CEO Karissa Bodnar","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/c6a63ae7-dcc5-4286-a452-9c639103f523/audio/48bdb343-6062-4795-ad9d-394fa912182a/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227859,"Beautiful Conflict with the poet Yung Pueblo","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/562e4f91-48ea-4dbb-9193-3e55c887bc87/audio/fcc2a10e-7ac1-4c3f-a198-fd8eb3e06194/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227858,"Power with author Robert Greene","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/f66a8663-6215-4108-a4cf-00a03671d307/audio/185a8f3d-453a-4837-b832-c9a01cc65eea/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227857,"Failing Well with professor of leadership Dr. Amy Edmondson","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/0f05e225-af3e-4c5c-a7ef-91db16c5a2ba/audio/709bd5d8-fa22-4a2a-82b6-98c53d2bfb37/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227856,"Happier-ness with author Arthur Brooks","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/a361504e-3a67-49db-b45a-2e4e71ae0c20/audio/0a74cbeb-68b3-4dda-8ea5-6a8f70da7fff/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227855,"Intuition vs. Reason with poker champion Liv Boeree","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/7f1b5bdb-16d3-4c67-831e-c20b56a90291/audio/efab3b5b-410c-47a9-a7a4-a7e25f12ce2e/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227854,"When to Quit with Steven Bartlett (Part 2)","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/a6202504-4ea8-40a1-badf-2b2f8efb4f90/audio/9fd09ac4-6a90-41ab-885b-e67a51141a9c/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227853,"Sweating the Small Stuff with Steven Bartlett (Part 1)","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/b81b42b2-5ddc-42e6-9a8e-3a2a5e598eb3/audio/fefdc244-f79b-463d-84e4-693272d66367/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227852,"Community and Empowerment with Sharmadean Reid","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/9dc9af19-8875-4bd3-9c73-1cb583408338/audio/54b20468-ead1-4be9-b4dc-2eabf08911ee/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227851,"The Book of Charlie with David Von Drehle","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/48d333a7-e594-4820-9270-b9d9d13a49de/audio/e2a6e7c2-df21-4ed4-854a-92dc551edeac/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227850,"Leadership with General CQ Brown, Jr.","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/56d3c579-3d04-4533-a588-6c5e964a1f8c/audio/35062df3-b43b-4ce4-91a3-de6772831852/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227849,"Preparing for Change with Cassandra Worthy","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/b262c14c-bb4f-40d1-831d-d6c2184418d1/audio/0671a663-400c-4840-b6c7-e7854562daf8/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227848,"Trust with Jimmy Wales","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/5af1c231-5be3-434e-a510-6a908c429b50/audio/0b63fb98-4115-4466-88c0-519cd8e4e1f6/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227847,"Life Worth Living with Miroslav Volf","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/fbc29938-915a-4f3f-92f0-84fadb2209e8/audio/c7a5524a-047d-4c92-a1c3-fd898fde648b/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227846,"Determination with Steven Pressfield","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/d2ad134e-931c-454c-85cf-ad029545265a/audio/481faace-33e2-4b87-8b28-af4e55100f6e/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227845,"Rewarding Kindness with Jimmy Darts","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/af575c43-9cfe-43b8-821b-72bf32d01768/audio/77adc774-fb75-49f6-992f-952075507f80/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227844,"Love Without Judgment with Ana Kirova","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/efd6373c-c0f5-49fd-b781-5b9b7c668af5/audio/fb9cfc80-51a1-4ff8-b146-776d44bf653b/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227843,"The Soul of an Idea with David Copperfield","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/a539bb09-8e8b-4a94-9f10-606d546ce524/audio/d3bc3791-1d9c-43c5-a727-bf9a90a8d83a/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227842,"Molly's Game with Molly Bloom","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/ef110baf-d7eb-4e38-ab4e-b93a87ca080c/audio/3ca4d3b0-90d1-4c8e-b369-fcac4a2a7975/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
740227841,"The Courage of Compassion with Robin Steinberg","https://cdn.simplecast.com/audio/f1c74be6-1f84-499d-8047-797c33919c73/episodes/5ab30004-0d4e-4a43-b28c-863788690d5a/audio/84dada02-89ed-4588-9e33-cab138caca1f/default_tc.mp3?aid=rss_feed&feed=mDS2jisg"
