EID,Title,URL
759978315,"Laila Ali + Michael Moore","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC12062024Fri_88mb_3702cd4c.mp3?awCollectionId=313&awEpisodeId=e6214077-287c-485d-b4d1-fc143702cd4c&adwNewID3=true&awNetwork=302"
759393448,"Comedian Jeff Dunham + Ed Elson from the Prof G Markets Podcast","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-12-05acs_JeffDunhamEdElson_os83_3eb2a3a3.mp3?awCollectionId=313&awEpisodeId=7b56f5c3-ea21-4f49-813b-c5423eb2a3a3&adwNewID3=true&awNetwork=302"
759035351,"Singer Clay Aiken + Actress/Model Brande Roderick","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-12-04acs_ClayAikenBrandeRoderick_l8x1_8fd17d3b.mp3?awCollectionId=313&awEpisodeId=d602245f-e923-4499-8b53-ddff8fd17d3b&adwNewID3=true&awNetwork=302"
758679515,"Comedian Des Bishop","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-12-03acs_DesBishop_5d6f_38165b11.mp3?awCollectionId=313&awEpisodeId=f9f48bd0-8c19-463c-9929-7df038165b11&adwNewID3=true&awNetwork=302"
758348716,"Comedian Dustin Ybarra + Actor/Musician Gary Sinise","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-12-02acs_DustinYbarraGarySinise_0ykz_a09ca0e0.mp3?awCollectionId=313&awEpisodeId=4e91d550-ed7a-4752-826f-1de3a09ca0e0&adwNewID3=true&awNetwork=302"
758131688,"Kathleen Madigan + Larry Miller (Carolla Classics)","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC113024Sun_5xo4_c797568f.mp3?awCollectionId=313&awEpisodeId=f790f427-2b50-4cec-bf2b-45f3c797568f&adwNewID3=true&awNetwork=302"
757906081,"Phil Rosenthal + Beth Littleford (Carolla Classics)","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC11302024Sat_4wjj_e890338d.mp3?awCollectionId=313&awEpisodeId=68fa30fc-2fa0-4198-aa4a-e206e890338d&adwNewID3=true&awNetwork=302"
757881406,"Carolla & Mayhem: Game On!","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-30bet_q0a6_61fcb78a.mp3?awCollectionId=313&awEpisodeId=f90e36a2-2ef1-4e88-b605-7e5561fcb78a&adwNewID3=true&awNetwork=302"
757636591,"Ken Burns + Karine Steffans (Carolla Classics)","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC11292024Fri_c995_548ee2d0.mp3?awCollectionId=313&awEpisodeId=b43e2cf5-dee4-49c3-954a-e663548ee2d0&adwNewID3=true&awNetwork=302"
757272969,"Happy Thanksgiving 2024!","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-28acs_HappyThanksgiving_zlcg_41d1fa20.mp3?awCollectionId=313&awEpisodeId=180402fa-b2ac-4b3c-a2ba-b03841d1fa20&adwNewID3=true&awNetwork=302"
756968064,"MMA Legend Rampage Jackson + Radio Personality John Clay Wolfe","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-27acs_RampageJacksonJohnClayWolfe_tlzh_78d85922.mp3?awCollectionId=313&awEpisodeId=edc590b5-4a8d-489c-805d-115078d85922&adwNewID3=true&awNetwork=302"
756659369,"Comedian Ben Gleib + “The Mooch” Anthony Scaramucci","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-26acs_AnthonyScaramucciBenGleib_1xd2_2c087ff0.mp3?awCollectionId=313&awEpisodeId=2d8808d8-7287-4c7d-a740-be052c087ff0&adwNewID3=true&awNetwork=302"
756358834,"Jiaoying Summers Returns + Legendary Sportscaster Chris Myers","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-25acs_JiaoyingSummersChrisMyers_7owu_40200190.mp3?awCollectionId=313&awEpisodeId=d26771d6-17d4-47dd-bc26-9b0040200190&adwNewID3=true&awNetwork=302"
756165085,"Will Sasso + Bill Simmons (Carolla Classics)","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC112424Sunfixed_wysr_0dbaec4a.mp3?awCollectionId=313&awEpisodeId=0b09aa4e-dd09-4de5-bc45-24a70dbaec4a&adwNewID3=true&awNetwork=302"
755915558,"MMA with M.M. & Ace: Round 6 - Straight Down the Puncher's Hallway","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-23bet_8ncj_856aa171.mp3?awCollectionId=313&awEpisodeId=9297dd25-c85d-4d43-9dc9-2ed4856aa171&adwNewID3=true&awNetwork=302"
755943146,"Larry Miller + Leo Laporte (Carolla Classics)","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC11232024Sat_mh8u_87b56536.mp3?awCollectionId=313&awEpisodeId=e03277e4-9c92-48a2-ade5-04bc87b56536&adwNewID3=true&awNetwork=302"
755626171,"Richard Martin + Deaf Frat Guy (Carolla Classics)","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/CC11222024Fri_n58l_1a26384a.mp3?awCollectionId=313&awEpisodeId=3eef42b3-3202-4fa6-8e2a-2d081a26384a&adwNewID3=true&awNetwork=302"
755250261,"Comedians Felipe Esparza & Jessimae Peluso + Filmmaker/Author Justine Bateman","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-21acs_FelipeEsparzaJessimaeJustin_jdq6_0cb14886.mp3?awCollectionId=313&awEpisodeId=476a162b-17b5-4d66-aabe-86c20cb14886&adwNewID3=true&awNetwork=302"
754911771,"Comedians Jeff Dye & Adam Ray","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-20acs_AdamRayJeffDye_hl43_3b744455.mp3?awCollectionId=313&awEpisodeId=bbff2ff7-c55f-4cd9-a93c-93773b744455&adwNewID3=true&awNetwork=302"
754601526,"From Parks & Rec Jim O’Heir + Legendary Actor Tim Matheson","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-18acs_JimOHeirTimMatheson_d53i_ad70b01b.mp3?awCollectionId=313&awEpisodeId=e2daea4d-ffa1-4271-a8b7-5915ad70b01b&adwNewID3=true&awNetwork=302"
754279552,"Comedian Angelo Tsarouchas + Dr. Mark Hyman","https://dts.podtrac.com/redirect.mp3/pdst.fm/e/claritaspod.com/measure/arttrk.com/p/PDPN1/pfx.vpixl.com/MiDDL/pscrb.fm/rss/p/aw.noxsolutions.com/launchpod/adswizz/313/2024-11-18acs_AngeloTsaruchasDrMarkHyman_917h_c2fa9164.mp3?awCollectionId=313&awEpisodeId=a6b56414-0511-4769-8015-6238c2fa9164&adwNewID3=true&awNetwork=302"
