EID,Title,URL
567394591,"“Basket Case”—Green Day","https://traffic.megaphone.fm/GLT3649045551.mp3?updated=1675232841"
565510150,"“Enjoy the Silence”—Depeche Mode","https://traffic.megaphone.fm/GLT4358876459.mp3?updated=1674637712"
563753423,"“F--k and Run”—Liz Phair","https://traffic.megaphone.fm/GLT3084136771.mp3?updated=1674074190"
561902354,""Only Wanna Be with You”—Hootie & The Blowfish","https://traffic.megaphone.fm/GLT8170930582.mp3?updated=1673432301"
560198233,"“Tyrone - Live”—Erykah Badu","https://traffic.megaphone.fm/GLT1475474306.mp3?updated=1672820804"
557270630,"Mailbag","https://traffic.megaphone.fm/GLT9724500302.mp3?updated=1671612421"
555540674,"“Ice Ice Baby”—Vanilla Ice","https://traffic.megaphone.fm/GLT2649442745.mp3?updated=1671002915"
553717357,"“Yellow Ledbetter”—Pearl Jam","https://traffic.megaphone.fm/GLT6180372128.mp3?updated=1670397687"
551943006,"“Stay (I Missed You)”—Lisa Loeb","https://traffic.megaphone.fm/GLT4903814144.mp3?updated=1669784399"
548532412,"“Return of the Mack”—Mark Morrison","https://traffic.megaphone.fm/GLT9945648937.mp3?updated=1668635372"
546677496,"“It Was a Good Day”—Ice Cube","https://traffic.megaphone.fm/GLT7121318496.mp3?updated=1667972646"
545157090,"“Goodbye Earl”—The Chicks","https://traffic.megaphone.fm/GLT6181423767.mp3?updated=1667426610"
545154872,"“Walk”—Pantera","https://traffic.megaphone.fm/GLT9936103972.mp3?updated=1667426809"
545154871,""Zombie”—The Cranberries","https://traffic.megaphone.fm/GLT8348972047.mp3?updated=1667424168"
520985411,"“Firestarter”—The Prodigy","https://traffic.megaphone.fm/GLT9568207751.mp3?updated=1660151689"
519277567,"“Together Again”—Janet Jackson","https://traffic.megaphone.fm/GLT2212325678.mp3?updated=1659561762"
519266374,"“In Circles”—Sunny Day Real Estate","https://traffic.megaphone.fm/GLT4713660327.mp3?updated=1659558339"
515545409,"“Sabotage”—Beastie Boys","https://traffic.megaphone.fm/GLT2640313464.mp3?updated=1658346193"
515545408,"“Closer”—Nine Inch Nails","https://traffic.megaphone.fm/GLT5372228963.mp3?updated=1658345656"
515545407,"“Real Love”—Mary J. Blige","https://traffic.megaphone.fm/GLT6736297178.mp3?updated=1658346631"
515545406,"“Bitter Sweet Symphony”—The Verve","https://traffic.megaphone.fm/GLT3028458210.mp3?updated=1658346736"
515015107,"“Doll Parts”—Hole","https://traffic.megaphone.fm/GLT1192117923.mp3?updated=1658236999"
515015105,"“Shook Ones, Part II”—Mobb Deep","https://traffic.megaphone.fm/GLT7857639401.mp3?updated=1658237117"
515015103,"“Pretty Fly (For A White Guy)“—The Offspring","https://traffic.megaphone.fm/GLT4050466280.mp3?updated=1658236903"
515015101,"“Been Caught Stealing”—Jane’s Addiction","https://traffic.megaphone.fm/GLT1554834518.mp3?updated=1658157563"
515015099,"“I Can’t Make You Love Me” — Bonnie Raitt","https://traffic.megaphone.fm/GLT9362510840.mp3?updated=1658236807"
515015097,"“Whoomp! (There It Is)” — Tag Team","https://traffic.megaphone.fm/GLT2655866879.mp3?updated=1658236684"
515015095,"" ... Baby One More Time"—Britney Spears","https://traffic.megaphone.fm/GLT7118158943.mp3?updated=1658236457"
515015092,""Would?“—Alice in Chains","https://traffic.megaphone.fm/GLT9471891180.mp3?updated=1658236275"
515015090,"“It’s Good to Be King”—Tom Petty","https://traffic.megaphone.fm/GLT4130010224.mp3?updated=1658236207"
515015087,"“California Love”—Tupac","https://traffic.megaphone.fm/GLT4620799080.mp3?updated=1658236085"
515015085,"“Killing In The Name”—Rage Against The Machine","https://traffic.megaphone.fm/GLT7694219940.mp3?updated=1658235947"
515015082,"“Ex-Factor”—Lauryn Hill","https://traffic.megaphone.fm/GLT3412159890.mp3?updated=1658235884"
515015080,"“A Long December”—Counting Crows","https://traffic.megaphone.fm/GLT9032367900.mp3?updated=1658235843"
515015078,"“Criminal” - Fiona Apple","https://traffic.megaphone.fm/GLT9923325372.mp3?updated=1658235786"
515015075,"“Smooth” - Santana","https://traffic.megaphone.fm/GLT6088729937.mp3?updated=1658235715"
515015072,"Spice Girls—“Wannabe”","https://traffic.megaphone.fm/GLT6408849582.mp3?updated=1658235670"
515015068,"DMX—“Ruff Ryder’s Anthem”","https://traffic.megaphone.fm/GLT5352153334.mp3?updated=1658235538"
515015066,"Radiohead—“Creep”","https://traffic.megaphone.fm/GLT6454802711.mp3?updated=1658235433"
515015064,"Celine Dion—“My Heart Will Go On”","https://traffic.megaphone.fm/GLT2846850054.mp3?updated=1658235031"
515015062,"Bone Thugs-N-Harmony—“Tha Crossroads”","https://traffic.megaphone.fm/GLT2988032746.mp3?updated=1657350372"
515015060,"Blink-182—“What’s My Age Again?”","https://traffic.megaphone.fm/GLT8023415855.mp3?updated=1658234806"
515015057,"Billy Ray Cyrus—“Achy Breaky Heart”","https://traffic.megaphone.fm/GLT1920994183.mp3?updated=1658234735"
515015055,"Aaliyah—“One in a Million”","https://traffic.megaphone.fm/GLT3922190615.mp3?updated=1658234617"
515015053,"R.E.M.—“Nightswimming”","https://traffic.megaphone.fm/GLT7599006191.mp3?updated=1658234563"
515015051,"Outkast—“Rosa Parks”","https://traffic.megaphone.fm/GLT4431209409.mp3?updated=1658234516"
515015049,"Tori Amos — “Cornflake Girl”","https://traffic.megaphone.fm/GLT2014265429.mp3?updated=1658234435"
515015048,"Oasis—“Wonderwall”","https://traffic.megaphone.fm/GLT8492672486.mp3?updated=1658234293"
515015046,"Boyz II Men—“End of the Road”","https://traffic.megaphone.fm/GLT2731063540.mp3?updated=1658234168"
515015044,"Limp Bizkit—“Nookie”","https://traffic.megaphone.fm/GLT2302581792.mp3?updated=1658234090"
515015041,"Madonna—“Vogue”","https://traffic.megaphone.fm/GLT4236030146.mp3?updated=1658234059"
515015039,"Coolio—“Gangsta’s Paradise”","https://traffic.megaphone.fm/GLT6820272622.mp3?updated=1658233888"
515015038,"Cake—“The Distance”","https://traffic.megaphone.fm/GLT9155939174.mp3?updated=1658233832"
515015036,"Pavement—“Gold Soundz”","https://traffic.megaphone.fm/GLT3176242652.mp3?updated=1658233805"
515015035,"Brandy and Monica—“The Boy Is Mine”","https://traffic.megaphone.fm/GLT8378665574.mp3?updated=1658233751"
515015033,"Third Eye Blind—“Semi-Charmed Life”","https://traffic.megaphone.fm/GLT2936943172.mp3?updated=1658233693"
515015032,"Sinéad O’Connor—“Nothing Compares 2 U”","https://traffic.megaphone.fm/GLT4898509616.mp3?updated=1658233635"
515015031,"Juvenile—“Back That Azz Up”","https://traffic.megaphone.fm/GLT1058285142.mp3?updated=1658233390"
515015030,"Red Hot Chili Peppers—“Under the Bridge”","https://traffic.megaphone.fm/GLT3081400563.mp3?updated=1658233276"
