EID,Title,URL
747267900,"We Found Miss Beryl’s Mother… Kamala Lied Again! | Candace Ep 89","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2269349223.mp3?updated=1729722740"
746977419,"Another Kamala Family Member Reaches Out! | Candace Ep 88","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1942137766.mp3?updated=1729634110"
746686049,"Judge Joe Brown X Candace Owens | Candace Ep 87","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3326052881.mp3?updated=1729546353"
746039281,"Who Is Kamala’s Real Grandmother?  | Candace EP 86","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7790079438.mp3?updated=1729289584"
745720412,"Breaking! Kamala Family Friend Confirms Race Hoax | Candace Ep 85","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8422789895.mp3?updated=1729203073"
745405249,"Are They Breeding Politicians?  | Candace Ep 84","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC9740820376.mp3?updated=1729116925"
745033614,"BREAKING: Was Kamala Harris Previously Married?! | Candace Ep 83","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8876618879.mp3?updated=1729028119"
743609164,"Neil Oliver Interviews Candace Owens","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5142105886.mp3?updated=1729015175"
743239769,"This Is Why I Choose Not To Vaccinate My Kids | Candace Ep 82","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3963176037.mp3?updated=1729015030"
742944728,"Forbidden History: The Christian Holocaust | Candace Ep 81","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6003974781.mp3?updated=1729015019"
742631330,"What Really Happened To Malaysian Airlines Flight 370? | Candace EP 80","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1139772758.mp3?updated=1729015455"
742024582,"Another Explosive Kamala Heritage Lie Exposed | Candace Ep 79","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC9889263889.mp3?updated=1729015000"
741739619,"I Spoke With Kamala's Uncle! | Candace Ep 78","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3327423193.mp3?updated=1729014962"
741567482,"Kamala’s Family Reaches Out! | Candace Ep 77","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7288128657.mp3?updated=1729014877"
741243686,"Who is Kamala’s Father? | Candace Ep 76","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2327890323.mp3?updated=1729014892"
741032646,"Kamala Must Answer For This Deranged Lie | Candace Ep 75","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3969316730.mp3?updated=1729014878"
740501073,"The Kamala Investigation Continues… | Candace Ep 74","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5790366415.mp3?updated=1729014850"
740285439,"I Think I Found Kamala’s Real Family | Candace Ep 73","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5917187379.mp3?updated=1729014862"
739906637,"This Is Terrifying! What is Kamala Hiding? | Candace Ep 72","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3110214876.mp3?updated=1729014917"
739557842,"Breaking News: Kamala Harris LIED About Her Black Grandparents | Candace Ep 71","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2479112797.mp3?updated=1729014842"
739343806,"LeBron James Is TOO Quiet About Diddy | Candace Ep 70","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1082936076.mp3?updated=1729014771"
738703325,"WHAT Did Diddy Do To Justin Bieber?! | Candace Ep 69","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5824419581.mp3?updated=1729014811"
738357124,"Guess Who’s Back? I’m Out of YouTube Jail. | Candace Ep 68","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8016980585.mp3?updated=1729014740"
738092219,"Exploding Pagers In Lebanon! Is This Terrorism? | Candace Ep 67","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5851414974.mp3?updated=1729014746"
737787880,"Diddy Arrested: One Freak Off Too Many. | Candace Ep 66","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2742653188.mp3?updated=1729014772"
737561486,"URGENT: Trump Must Drop JD Vance To Avoid Another Assassination Attempt | Candace Ep 65","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC9411721285.mp3?updated=1729014821"
737308618,"Second ASSASSINATION ATTEMPT on President Donald Trump","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8658873318.mp3?updated=1729014835"
736889771,"The Trump Campaign Is In Danger. Here Is Why. | Candace Ep 64","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC4958578458.mp3?updated=1729014695"
736549674,"9/11 Never Forget But Also, Never Remember | Candace Ep 63","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3111941478.mp3?updated=1729014763"
736274117,"Trump VS Kamala: The Unexpected Winner… | Candace Ep 62","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1881985008.mp3?updated=1729014691"
735977202,"Uh-oh! I Got Fired From YouTube. | Candace Ep 61","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6101308961.mp3?updated=1729014790"
735014635,"Father Of Suspected Georgia Shooter Charged. Is This Fair? | Candace Ep 60","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2075233117.mp3?updated=1729014678"
734667041,"RFK Jr. Attacks Me For Rabbi Shmuley?!!! | Candace Ep 59","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5956638201.mp3?updated=1729014679"
734319045,"I Finally Debate Rabbi Shmuley | Candace Ep 58","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1262828734.mp3?updated=1729014633"
733950047,"Tucker Carlson Is Canceled…Again. | Candace Ep 57","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8107933595.mp3?updated=1729014752"
732468832,"EXCLUSIVE: Meet the Journalist Who EXPOSED Brigitte Macron | Candace Ep 56","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8183304415.mp3?updated=1729014678"
732164574,"What Really Happened To Michael Jackson? | Candace Ep 55","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC4982322374.mp3?updated=1729014643"
731793154,"INSANE TikTok Trend: Get Pregnant Without A Man | Candace Ep 54","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7327285590.mp3?updated=1729014550"
731460322,"Diddy Accuser Breaks Silence! “He’s A Monster” | Candace Ep 53","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6101386170.mp3?updated=1729014588"
731221927,"EMERGENCY! France Arrests Telegram Founder, Pavel Durov. | Candace Ep 52","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8913540479.mp3?updated=1729014580"
730521313,"They LIED To Us About Beyoncé. THIS. MEANS. WAR. | Candace Ep 51","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8564420142.mp3?updated=1729014503"
730230807,"MUST WATCH! Andrew Tate UNLEASHES On The Media. | Candace EP 50","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1501614032.mp3?updated=1729014479"
729886560,"Andrew & Tristan Tate RAIDED! What We Know… | Candace Ep 49","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5191157634.mp3?updated=1729014590"
729597880,"Blake Lively’s Personality Destroys Modern Feminism | Candace Ep 48","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7576738400.mp3?updated=1729014467"
729305833,"Support Israel…Or Else! | Candace Ep 47","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3764767145.mp3?updated=1729014462"
728111686,"Andrew Tate x Candace Owens | Candace Ep 46","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2921998853.mp3?updated=1729014666"
727753075,"Tristan Tate x Candace Owens | Candace Ep 45","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7292937784.mp3?updated=1729014466"
727419626,"MAGA Civil War?! What’s going on with the Trump Campaign… | Candace Ep 44","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1025865739.mp3?updated=1729014344"
727167508,"Off Record With Kanye: More Secrets Revealed... | Candace Ep 43","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3289905577.mp3?updated=1729014317"
725823521,"Kanye West (Ye) x Candace Owens | Candace Ep 42","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6294268497.mp3?updated=1729014535"
725549817,"Ray J Debates Transgenderism | Candace Ep 41","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC1119995653.mp3?updated=1729014563"
725296909,"Candace Owens x Dave Smith | Candace Ep 40","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6117615493.mp3?updated=1729014732"
724995948,"She Said The N-Word And Went Viral | Candace Ep 39","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6072286746.mp3?updated=1729014285"
724595591,"The “Suicide” Of A VP Hopeful. | Candace Ep 38","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2146165899.mp3?updated=1729014338"
724324468,"Trump VS Black Journalist. Who Won? | Candace Ep 37","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3679042627.mp3?updated=1729014405"
723972816,"A Color Revolution for Venezuela...and Kamala | Candace Ep 36","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC3491554378.mp3?updated=1729014331"
723648795,"More Occult History Exposed | Candace Ep 35","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC9716179943.mp3?updated=1729014290"
723393491,"The Olympics Exposed Brigitte Macron | Candace Ep 34","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8294613755.mp3?updated=1729014366"
722901149,"Candace Owens x Amber Rose | Candace Ep 33","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC6878455986.mp3?updated=1729014377"
722431113,"Cardi B Attacks Me Over Sonya Massey Shooting | Candace Ep 32","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5338355135.mp3?updated=1729014185"
722388034,"Biden Speech Incoming / Assassination Memory Hole | Candace Ep 31","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC5897415777.mp3?updated=1729014155"
721782509,"So…Is Joe Biden Dead? | Candace Ep 30","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC4120727330.mp3?updated=1729014103"
721262002,"Biden Drops Out!","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC8107477066.mp3?updated=1729014131"
721262001,"Trump Returns But Questions Remain… | Candace Ep 29","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7983510864.mp3?updated=1729014024"
720486222,"Rappers EXPOSE Demonic Agenda In Music | Candace Ep 28","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC2778061518.mp3?updated=1729013977"
720181407,"Candace Owens + Alex Jones: Who Wanted To Kill Trump? | Candace Ep 27","https://pscrb.fm/rss/p/traffic.megaphone.fm/GEORGETOMINC7072834812.mp3?updated=1729014127"
