EID,Title,URL
741913618,"The Prince of Tides with Katey Rich","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4416751610.mp3?updated=1727895818"
741913617,"A Conversation with Amy Irving","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7288213432.mp3?updated=1727135243"
741913616,"Yentl with Jordan Hoffman","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7344263229.mp3?updated=1727895671"
741913615,"A Star Is Born (1976) with Rachel Zegler","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2237703277.mp3?updated=1727895585"
741913614,"Ferrari with Bilge Ebiri","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7435673232.mp3?updated=1727895702"
741913613,"Wonkquaman with Marie Bardi-Salinas","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4476333411.mp3?updated=1727895405"
741913612,"Maestro with Marie Bardi-Salinas","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4495924294.mp3?updated=1727831473"
741913611,"The Boy and the Heron with J.D. Amato","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1760016638.mp3?updated=1727831944"
741913610,"I Love You to Death","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5441588691.mp3?updated=1727831656"
741913609,"The Killer with Marie Bardi","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5438976039.mp3?updated=1727831384"
741913608,"Mank with Sean Fennessey","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6187777578.mp3?updated=1727831748"
741913607,"Gone Girl with Esther Zuckerman","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8775844338.mp3?updated=1727831534"
741913606,"The Girl with the Dragon Tattoo with Fran Hoepfner","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4288811148.mp3?updated=1727831543"
741913605,"The Social Network","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5553825935.mp3?updated=1727831496"
741913604,"The Curious Case of Benjamin Button with Richard Lawson","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6802247880.mp3?updated=1727831515"
741913603,"Zodiac with Leslye Headland","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6680490740.mp3?updated=1727831417"
741913602,"Panic Room with Eva Anderson","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7019552501.mp3?updated=1727831382"
741913601,"Fight Club with Alex Ross Perry","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9847232261.mp3?updated=1727803290"
741913600,"The Game with Brendan Hines","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6002804595.mp3?updated=1727831603"
741913599,"Se7en with Mike Mitchell & Nick Wiger","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6776844485.mp3?updated=1727831700"
741913598,"Alien³ with Matt Singer","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3589273335.mp3?updated=1727831609"
741913597,"Decision to Leave with Tatiana Maslany","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5901577127.mp3?updated=1727831434"
741913596,"The Handmaiden with Emily Yoshida","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7565929437.mp3?updated=1727831376"
741913595,"Stoker with Emily St. James","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1338257575.mp3?updated=1727831263"
741913594,"Thirst with Hoai-Tran Bui","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9198152546.mp3?updated=1727831251"
741913593,"I'm a Cyborg, But That's OK with Karen Chee","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5529485162.mp3?updated=1727831159"
741913592,"Oppenheimer with Marie Bardi","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1198816726.mp3?updated=1727831768"
741913590,"Mission: Impossible - Dead Reckoning Part One with Marie Bardi","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8839268094.mp3?updated=1727831388"
741913587,"Sympathy for Lady Vengeance with Karen Han","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3808087183.mp3?updated=1727831356"
741913585,"Oldboy with Alison Willmore","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9862260022.mp3?updated=1727831057"
741913583,"Sympathy for Mr. Vengeance with David Ehrlich","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4165459184.mp3?updated=1727831395"
741913582,"Joint Security Area","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5408392023.mp3?updated=1727830961"
741913581,"The Moon Is…the Sun's Dream / Trio","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1716968256.mp3?updated=1727831017"
741913580,"The Cameraman / Spite Marriage","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9217578648.mp3?updated=1727831079"
741913579,"College / Steamboat Bill, Jr. with John Hodgman","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1731717527.mp3?updated=1727831099"
741913578,"Battling Butler / The General with Jamelle Bouie","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7650646897.mp3?updated=1727831505"
741913577,"Seven Chances / Go West with Jamie Loftus","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9741862623.mp3?updated=1727831314"
741913576,"Sherlock Jr. / The Navigator with James Urbaniak","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8302375874.mp3?updated=1727804050"
741913575,"Three Ages / Our Hospitality with Dana Stevens","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4385345365.mp3?updated=1727804210"
741913574,"Yesterday with Zach Cherry","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2566527491.mp3?updated=1727803909"
741913573,"T2 Trainspotting with Scott Aukerman & Shaun Diston","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5690273562.mp3?updated=1727803587"
741913572,"Steve Jobs with Olivia Craighead","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3167636992.mp3?updated=1727803926"
741913571,"Trance with Nia DaCosta","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9380728541.mp3?updated=1727803302"
741913570,"127 Hours with Sean Clements","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3186147850.mp3?updated=1727990714"
741913569,"Slumdog Millionaire with Siddhant Adlakha","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7715734911.mp3?updated=1727990868"
741913568,"Sunshine","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1085012768.mp3?updated=1727991086"
741913567,"Millions with Adam Kempenaar","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4055909522.mp3?updated=1727991002"
741913566,"The Eighth Annual Blank Check Awards with Joe Reid","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8860981683.mp3?updated=1727991257"
741913565,"28 Days Later with David Rees","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6530776038.mp3?updated=1727991033"
741913564,"The Beach with Emily Yoshida","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7681632523.mp3?updated=1727991153"
741913153,"Unrest In The Galactic Senate - Attack Of The Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2382075702.mp3?updated=1727810186"
741913152,"Judging The Judge","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4528891321.mp3?updated=1727810008"
741913151,"Watch With Us - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7924577508.mp3?updated=1727808241"
741913150,"Final Thoughts - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6516525143.mp3?updated=1727808118"
741913149,"Fan Fiction - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8797277514.mp3?updated=1729691525"
741913148,"Merchandise - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4088682908.mp3?updated=1727808115"
741913147,"The Podrace - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2357071058.mp3?updated=1727808064"
741913146,"A Profile Of Jar Jar Binks And The Gungans - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2665603176.mp3?updated=1727808062"
741913145,"Our Performance Review - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5786890461.mp3?updated=1727808061"
741913144,"Commentary with Connor Ratliff - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2117247698.mp3?updated=1731349015"
741913143,"The Jedi Council - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6914864385.mp3?updated=1727807973"
741913142,"The Royalty Of Naboo - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7524622660.mp3?updated=1727807969"
741913141,"In A Galaxy Far Far Away… - The Phantom Podcast","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1026354186.mp3?updated=1727808046"
741913563,"Knock at the Cabin with Marie Bardi","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4973930329.mp3?updated=1727991125"
741913562,"A Life Less Ordinary with Janet Varney","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9845575328.mp3?updated=1727991712"
741913561,"Trainspotting with Charles Rogers","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8964760033.mp3?updated=1727991921"
741913560,"Shallow Grave","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3443400709.mp3?updated=1729690958"
741913559,"Wendell & Wild","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3124721474.mp3?updated=1727991906"
741913558,"Coraline with J.D. Amato","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7414768723.mp3?updated=1727992442"
741913557,"Avatar: The Way of Water with Marie Bardi","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2698555004.mp3?updated=1727993698"
741913556,"Monkeybone with Justin McElroy","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI1735775742.mp3?updated=1727994024"
741913555,"James and the Giant Peach with Emma Stefansky","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7633735457.mp3?updated=1727994471"
741913554,"The Nightmare Before Christmas with Michael Rianda","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4634409925.mp3?updated=1727994656"
741913553,"The Fabelmans","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5839925257.mp3?updated=1727994445"
741913552,"Eyes Wide Shut with David Ehrlich","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI5505561787.mp3?updated=1727994241"
741913551,"Full Metal Jacket with Jon Gabrus","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3550186840.mp3?updated=1727994934"
741913550,"The Shining with Timothy Simons","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7836820035.mp3?updated=1727994518"
741913549,"Barry Lyndon with Karina Longworth","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8527745584.mp3?updated=1727994924"
741913548,"A Clockwork Orange with Alex Ross Perry","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7559717362.mp3?updated=1727994764"
741913547,"2001: A Space Odyssey with Jordan Hoffman","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8241523125.mp3?updated=1728417244"
741913546,"Dr. Strangelove... with Sean Fennessey","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3377575587.mp3?updated=1728416803"
741913545,"The Woman King","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8851725732.mp3?updated=1728417110"
741913544,"Pinocchio (2022) with Podcast: The Ride","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4689222496.mp3?updated=1728417050"
741913543,"Three Thousand Years of Longing","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI4377898896.mp3?updated=1728417337"
741913542,"Lolita with Fran Hoepfner","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7670268040.mp3?updated=1728417174"
741913541,"Spartacus with Richard Lawson","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6850461865.mp3?updated=1728417849"
741913540,"Paths of Glory with Sarah Marshall","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8297475830.mp3?updated=1728421576"
741913539,"The Killing with Patton Oswalt","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI7093161725.mp3?updated=1728421854"
741913538,"Fear & Desire / Killer's Kiss","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9834199619.mp3?updated=1728421640"
741913537,"Star 80 with Julie Klausner","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9838714012.mp3?updated=1728421961"
741913536,"All That Jazz with Lin-Manuel Miranda","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9716706472.mp3?updated=1728422193"
741913535,"Lenny with Colin Quinn","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI9943803489.mp3?updated=1728421799"
741913534,"Cabaret with Rachel Zegler","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI3642375397.mp3?updated=1728501747"
741913533,"Sweet Charity","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI2845302065.mp3?updated=1728502175"
741913532,"Doctor Strange in the Multiverse of Madness with Patrick Willems","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI6241274429.mp3?updated=1728501447"
741913531,"Oz the Great and Powerful with Dana Schwartz","https://pscrb.fm/rss/p/traffic.megaphone.fm/THI8439195206.mp3?updated=1728508194"
