EID,Title,URL
582785473,"Platforms and Power (with Hamilton Helmer and Chenyi Shi)","https://media.transistor.fm/dc8f5bb4/50621f29.mp3"
582785472,"Nvidia Part I: The GPU Company (1993-2006)","https://media.transistor.fm/7ae32087/df85fec1.mp3"
582785468,"Altimeter (with Brad Gerstner)","https://media.transistor.fm/6f47a2f6/9eac70fe.mp3"
582785467,"SONY","https://media.transistor.fm/fe785706/74f0210f.mp3"
582785466,"Super Pumped (with Brian Koppelman and Joseph Gordon-Levitt)","https://media.transistor.fm/b62c8dea/16564134.mp3"
582785465,"The Browser (with Brendan Eich, Chief Architect of Netscape + Mozilla and CEO of Brave)","https://media.transistor.fm/77f34e0e/815498be.mp3"
582785464,"Peloton","https://media.transistor.fm/5517501f/a25df55a.mp3"
582785463,"Taylor Swift (Acquired’s Version)","https://media.transistor.fm/c82451cf/38202c2b.mp3"
582785462,"CAA (with Michael Ovitz)","https://media.transistor.fm/606092fa/cd3a0fb8.mp3"
582785461,"FTX (with Sam Bankman-Fried & Mario Gabriele)","https://media.transistor.fm/c5c5b578/9148ff9d.mp3"
582785460,"7 Powers with Hamilton Helmer","https://media.transistor.fm/eed24a19/e927d442.mp3"
582785459,"Not Boring (with Packy McCormick)","https://media.transistor.fm/39647cf9/3a85e9f5.mp3"
582785458,"Complexity Investing & Semiconductors (with NZS Capital)","https://media.transistor.fm/0944fa70/6dc20604.mp3"
582785457,"Standard Oil Part II","https://media.transistor.fm/751ad56b/83b09169.mp3"
582785456,"Michael Mauboussin Master Class — Moats, Skill, Luck, Decision Making and a Whole Lot More","https://media.transistor.fm/56cca4dc/8b8879fe.mp3"
582785455,"Standard Oil Part I","https://media.transistor.fm/523ca027/d34f7123.mp3"
582785454,"TSMC","https://media.transistor.fm/39c90a45/b8b18290.mp3"
582785453,"Kevin Rose from Web 2.0 to Web3","https://media.transistor.fm/401eb2a0/67a17a7f.mp3"
582785452,"Andreessen Horowitz Part II","https://media.transistor.fm/b4e1868a/e68c0000.mp3"
582785451,"Andreessen Horowitz Part I","https://media.transistor.fm/963ebf74/e67b257c.mp3"
