EID,Title,URL
677928441,"Roy Frisch (6 of Spades, Nevada)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/ae763da2-8eb5-4d8a-98bd-c1b29cb6eb57/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=ae763da2-8eb5-4d8a-98bd-c1b29cb6eb57&feed=ZH32N6UM"
674899353,"Nicole M. Saylor & Kayla M. Harris (7 & 8 of Hearts, Indiana)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/09f18830-39e1-44b9-bb26-d1e3c6c810f9/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=09f18830-39e1-44b9-bb26-d1e3c6c810f9&feed=ZH32N6UM"
672930849,"Charles & Jennifer Chia (Jack of Diamonds, Nevada)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/7d4acf74-4371-4f6e-b89d-a81462b7422c/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=7d4acf74-4371-4f6e-b89d-a81462b7422c&feed=ZH32N6UM"
670863350,"Andrea Durham (Ace of Clubs, Florida)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/ad6be4bd-68b2-4d57-889f-99c8d0b3ef4e/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=ad6be4bd-68b2-4d57-889f-99c8d0b3ef4e&feed=ZH32N6UM"
668993173,"Belinda VanLith (Queen of Hearts, Minnesota) Part 2","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/552d5cd6-1771-4781-9d03-b4956a8630cf/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=552d5cd6-1771-4781-9d03-b4956a8630cf&feed=ZH32N6UM"
667231374,"Belinda VanLith (Queen of Hearts, Minnesota) Part 1","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/d68632e5-8d15-492b-899e-9606ae1cd790/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=d68632e5-8d15-492b-899e-9606ae1cd790&feed=ZH32N6UM"
665300441,"Deshawna Wilkerson (3 of Clubs, Ohio)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/7aa09582-0ad8-4823-bcfe-cd28c21da3a4/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=7aa09582-0ad8-4823-bcfe-cd28c21da3a4&feed=ZH32N6UM"
663582085,"Manuel Mozqueda Ruiz (5 de Tréboles, Florida)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/842d8201-6657-451c-b3f1-b7b146638204/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=842d8201-6657-451c-b3f1-b7b146638204&feed=ZH32N6UM"
663581346,"Manuel Mozqueda Ruiz (5 of Clubs, Florida)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/96fe14eb-9516-463e-b4b6-a6b5c189509b/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=96fe14eb-9516-463e-b4b6-a6b5c189509b&feed=ZH32N6UM"
661894515,"Georgia Smith (8 of Hearts, Minnesota)","https://tracking.swap.fm/track/fxUKVg2nSMaPSHLeKNKH/stitcher.simplecastaudio.com/665829b1-6a18-4a6b-ba95-2d6c5caf4f0f/episodes/cf373615-1197-43be-801d-361a8bdc57fa/audio/128/default.mp3?aid=rss_feed&awCollectionId=665829b1-6a18-4a6b-ba95-2d6c5caf4f0f&awEpisodeId=cf373615-1197-43be-801d-361a8bdc57fa&feed=ZH32N6UM"
